station	lon     	lat     	v_vert	v_std
CSAR	34.890185	32.488254	0.533	0.143
CSCI	-119.038980	34.168403	1.125	0.268
CSDH	-118.256713	33.861476	3.429	0.465
CSN1	-118.523810	34.253549	2.254	0.406
CSST	-119.371249	34.408090	0.078	0.279
CSTL	14.940942	40.268926	0.719	0.649
CSTN	1.500149	43.527846	-0.838	0.251
CT10	1.814229	48.803713	-0.402	0.374
CT13	1.669233	48.572159	-1.314	0.434
CT15	1.232913	48.451867	-1.022	0.345
CT18	1.881940	48.079267	-0.413	0.464
CT21	1.598610	49.382490	-0.545	0.344
CT22	1.350973	49.298938	-0.348	0.429
CT24	1.736753	48.897220	-1.085	0.365
CT30	0.630108	48.943416	-0.972	0.355
CT31	0.920275	48.843933	-0.813	0.328
CT32	0.722522	49.378586	-1.049	0.305
CT33	0.514312	49.228871	-0.588	0.311
CT37	0.453400	49.054545	-0.010	0.426
CT40	0.778303	48.698222	-0.606	0.334
CT41	1.283026	48.591957	-0.349	0.348
CT42	1.265348	48.907917	-0.606	0.345
